ds,holiday
1/1/2007,New Year Day 
2/16/2007,Chinese New Year  
3/28/2007,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2007,Wafat Isa Al-Masih
4/13/2007,Lailat al-Miraj or Isra and Miraj 
5/10/2007,Kenaikan Isa Al-Masih
5/29/2007,Waisak
6/15/2007,Hari Raya Idul Fitri
8/17/2007,Hari Proklamasi Kemerdekaan R.I
8/21/2007,Hari Raya Idul Adha
9/11/2007,Tahun Baru Hijriyah
11/20/2007,Birth of the Prophet
12/25/2007,Christmas Day
1/1/2008,New Year Day 
2/16/2008,Chinese New Year  
3/28/2008,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2008,Wafat Isa Al-Masih
4/13/2008,Lailat al-Miraj or Isra and Miraj 
5/10/2008,Kenaikan Isa Al-Masih
5/29/2008,Waisak
6/15/2008,Hari Raya Idul Fitri
8/17/2008,Hari Proklamasi Kemerdekaan R.I
8/21/2008,Hari Raya Idul Adha
9/11/2008,Tahun Baru Hijriyah
11/20/2008,Birth of the Prophet
12/25/2008,Christmas Day
1/1/2009,New Year Day 
2/16/2009,Chinese New Year  
3/28/2009,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2009,Wafat Isa Al-Masih
4/13/2009,Lailat al-Miraj or Isra and Miraj 
5/10/2009,Kenaikan Isa Al-Masih
5/29/2009,Waisak
6/15/2009,Hari Raya Idul Fitri
8/17/2009,Hari Proklamasi Kemerdekaan R.I
8/21/2009,Hari Raya Idul Adha
9/11/2009,Tahun Baru Hijriyah
11/20/2009,Birth of the Prophet
12/25/2009,Christmas Day
1/1/2010,New Year Day 
2/16/2010,Chinese New Year  
3/28/2010,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2010,Wafat Isa Al-Masih
4/13/2010,Lailat al-Miraj or Isra and Miraj 
5/10/2010,Kenaikan Isa Al-Masih
5/29/2010,Waisak
6/15/2010,Hari Raya Idul Fitri
8/17/2010,Hari Proklamasi Kemerdekaan R.I
8/21/2010,Hari Raya Idul Adha
9/11/2010,Tahun Baru Hijriyah
11/20/2010,Birth of the Prophet
12/25/2010,Christmas Day
1/1/2011,New Year Day 
2/16/2011,Chinese New Year  
3/28/2011,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2011,Wafat Isa Al-Masih
4/13/2011,Lailat al-Miraj or Isra and Miraj 
5/10/2011,Kenaikan Isa Al-Masih
5/29/2011,Waisak
6/15/2011,Hari Raya Idul Fitri
8/17/2011,Hari Proklamasi Kemerdekaan R.I
8/21/2011,Hari Raya Idul Adha
9/11/2011,Tahun Baru Hijriyah
11/20/2011,Birth of the Prophet
12/25/2011,Christmas Day
1/1/2012,New Year Day 
2/16/2012,Chinese New Year  
3/28/2012,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2012,Wafat Isa Al-Masih
4/13/2012,Lailat al-Miraj or Isra and Miraj 
5/10/2012,Kenaikan Isa Al-Masih
5/29/2012,Waisak
6/15/2012,Hari Raya Idul Fitri
8/17/2012,Hari Proklamasi Kemerdekaan R.I
8/21/2012,Hari Raya Idul Adha
9/11/2012,Tahun Baru Hijriyah
11/20/2012,Birth of the Prophet
12/25/2012,Christmas Day
1/1/2013,New Year Day 
2/16/2013,Chinese New Year  
3/28/2013,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2013,Wafat Isa Al-Masih
4/13/2013,Lailat al-Miraj or Isra and Miraj 
5/10/2013,Kenaikan Isa Al-Masih
5/29/2013,Waisak
6/15/2013,Hari Raya Idul Fitri
8/17/2013,Hari Proklamasi Kemerdekaan R.I
8/21/2013,Hari Raya Idul Adha
9/11/2013,Tahun Baru Hijriyah
11/20/2013,Birth of the Prophet
12/25/2013,Christmas Day
1/1/2014,New Year Day 
2/16/2014,Chinese New Year  
3/28/2014,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2014,Wafat Isa Al-Masih
4/13/2014,Lailat al-Miraj or Isra and Miraj 
5/10/2014,Kenaikan Isa Al-Masih
5/29/2014,Waisak
6/15/2014,Hari Raya Idul Fitri
8/17/2014,Hari Proklamasi Kemerdekaan R.I
8/21/2014,Hari Raya Idul Adha
9/11/2014,Tahun Baru Hijriyah
11/20/2014,Birth of the Prophet
12/25/2014,Christmas Day
1/1/2015,New Year Day 
2/16/2015,Chinese New Year  
3/28/2015,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2015,Wafat Isa Al-Masih
4/13/2015,Lailat al-Miraj or Isra and Miraj 
5/10/2015,Kenaikan Isa Al-Masih
5/29/2015,Waisak
6/15/2015,Hari Raya Idul Fitri
8/17/2015,Hari Proklamasi Kemerdekaan R.I
8/21/2015,Hari Raya Idul Adha
9/11/2015,Tahun Baru Hijriyah
11/20/2015,Birth of the Prophet
12/25/2015,Christmas Day
1/1/2016,New Year Day 
2/16/2016,Chinese New Year  
3/28/2016,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2016,Wafat Isa Al-Masih
4/13/2016,Lailat al-Miraj or Isra and Miraj 
5/10/2016,Kenaikan Isa Al-Masih
5/29/2016,Waisak
6/15/2016,Hari Raya Idul Fitri
8/17/2016,Hari Proklamasi Kemerdekaan R.I
8/21/2016,Hari Raya Idul Adha
9/11/2016,Tahun Baru Hijriyah
11/20/2016,Birth of the Prophet
12/25/2016,Christmas Day
1/1/2017,New Year Day 
2/16/2017,Chinese New Year  
3/28/2017,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2017,Wafat Isa Al-Masih
4/13/2017,Lailat al-Miraj or Isra and Miraj 
5/10/2017,Kenaikan Isa Al-Masih
5/29/2017,Waisak
6/15/2017,Hari Raya Idul Fitri
8/17/2017,Hari Proklamasi Kemerdekaan R.I
8/21/2017,Hari Raya Idul Adha
9/11/2017,Tahun Baru Hijriyah
11/20/2017,Birth of the Prophet
12/25/2017,Christmas Day
1/1/2018,New Year Day 
2/16/2018,Chinese New Year  
3/28/2018,Hari Raya Nyepi (Tahun Baru Saka)
3/30/2018,Wafat Isa Al-Masih
4/13/2018,Lailat al-Miraj or Isra and Miraj 
5/10/2018,Kenaikan Isa Al-Masih
5/29/2018,Waisak
6/15/2018,Hari Raya Idul Fitri
8/17/2018,Hari Proklamasi Kemerdekaan R.I
8/21/2018,Hari Raya Idul Adha
9/11/2018,Tahun Baru Hijriyah
11/20/2018,Birth of the Prophet
12/25/2018,Christmas Day
